N,P,K,temperature,humidity,ph,label
11,142,199,10.275860148212,93.71448209840749,5.617751082890141,Grapes
40,38,21,22.157442640830663,59.797191518391244,7.380810326529183,Kidneybeans
81,55,40,30.982768676885936,76.26826651403994,6.766196126714895,Jute
66,44,47,32.57160444767444,80.1095375387256,7.041822754128541,Jute
63,134,58,32.141008492791116,26.623893434010117,6.912608437865552,Watermelon
70,42,45,25.335090746974238,87.97614762960615,6.09424343124635,Jute
53,102,59,29.910134960879443,94.94637914598064,7.430288388841001,Chickpea
95,49,54,22.43020816837377,91.03824150775108,7.192815698629115,Rice
20,121,203,21.56368305618733,81.59897379700658,5.575137781735808,Grapes
128,65,175,27.94858174804464,56.77452102089049,4.803733641478488,Orange
96,46,46,34.5154908231063,70.13134546395962,5.70618749202749,Papaya
43,53,193,33.70040676375568,75.24481859565125,6.585202669654278,Pigeonpeas
61,84,87,31.966746592286835,84.52489182891598,7.13513346684287,Mango
24,93,16,16.636283254588065,99.01344063973175,8.276237358746453,Coffee
31,14,20,37.757449522469976,34.44602761018668,6.771780922210517,Muskmelon
13,83,121,31.93071014374845,35.40792222285043,4.961128084989138,Mungbean
90,54,41,26.827155275542342,83.06086440177923,6.789093301251644,Papaya
107,49,102,36.54995069569843,62.421210610792016,6.2641286469926465,Watermelon
38,19,124,26.184738771260115,83.25785318711709,5.77501001172828,Mango
92,50,47,29.23794782273457,75.82398686884085,5.548801563113076,Papaya
33,17,145,21.51891669759177,94.60719275402023,4.780118822989884,Pomegranate
28,66,189,27.422716216819833,41.73495768552033,6.093149535902542,Watermelon
83,137,69,17.16331437304907,28.837929050511573,5.918488630563106,Mungbean
63,52,39,20.63139784454543,70.44684836833534,7.475444779472063,Papaya
48,125,92,13.733126718905691,96.513255804754,7.6919572885735334,Lentil
123,43,188,36.52596934394509,68.06387571537584,8.114895868701081,Pigeonpeas
51,8,63,22.047407092764622,87.02605882265964,5.422276783220076,Maize
69,45,36,25.761359172368742,70.91829843566533,7.414540525966651,Coconut
4,9,58,39.07307890422434,90.70287079707406,8.211009132780852,Mothbeans
60,127,167,32.74715427112274,75.68164944430337,5.11558362535942,Orange
12,124,129,26.109232686802407,67.43519478733626,6.820344831351244,Chickpea
10,109,188,17.96800127766118,30.361193702624334,8.05499231947591,Maize
75,13,44,37.947684649569695,78.81701236187622,5.6255638423101075,Maize
37,76,137,11.463507450195193,62.60820155206097,8.3484878903682,Muskmelon
22,124,195,10.922755393588526,93.24359403706192,6.016079020443617,Apple
62,58,42,30.170242288385953,84.14329909989478,6.034056540338843,Coconut
79,96,101,14.72021979107578,32.832008426405764,5.836035514980951,Mothbeans
34,140,204,11.58751140742876,90.48486107059381,5.689221539785006,Grapes
44,62,35,34.77450251694288,30.309589397875616,5.840475417036568,Pigeonpeas
81,104,6,34.964025338732256,60.597418700866896,4.525543486867335,Mungbean
23,136,203,19.477202905250024,83.8970537159624,6.134005703099612,Grapes
12,135,200,14.250144223983725,80.27641578107327,5.932240783892512,Grapes
62,64,83,37.960843165300524,28.20077823925434,8.248913948945805,Maize
67,21,16,12.02051804406315,66.57363681410186,5.883532227811827,Kidneybeans
73,49,46,31.24477747614387,73.2521560032658,7.016526391858045,Papaya
28,143,37,19.708306574486237,59.091455232373264,7.581629671231173,Mungbean
28,8,103,23.541610729890266,33.089905695333535,7.6792381949997175,Maize
115,36,134,33.184683400504134,38.404294642514714,5.025340505637512,Banana
80,130,188,22.970044031278057,95.4892736134079,6.178909267704489,Chickpea
5,135,5,19.622282213143823,77.95381380912936,7.483348048123857,Cotton
63,29,28,21.055790311712833,89.14865998717096,6.392839626766229,Chickpea
59,97,57,14.60974114483338,56.29549076842261,6.621417574913025,Blackgram
130,97,196,18.82503920030434,92.94688279679289,8.370045054455112,Mungbean
45,19,157,10.036955054992777,67.86618120979415,6.929225793050685,Cotton
8,67,121,27.707918166568675,54.65973991773245,8.437405629611616,Cotton
71,25,22,30.41369879077976,51.64360671039749,8.398799407482759,Orange
31,15,49,32.711778028336695,96.21189104309737,8.131274611938561,Mothbeans
87,45,149,13.08377213477997,65.67236014753314,4.5734705477621596,Banana
85,96,152,20.380497029345186,82.06437886343649,8.264950016929546,Coffee
61,35,35,33.238002287294,72.06271336101054,7.149028093793667,Rice
102,107,94,30.683949074117972,84.04693592872663,5.30060097697924,Coffee
48,108,65,31.194271794607033,22.526891586051363,8.244848984974759,Mango
40,118,12,38.42051387893116,70.02437281711582,7.633690903766459,Mungbean
126,11,88,26.590043577758752,67.7980690105544,7.635330213675448,Muskmelon
126,45,192,31.947685652659956,26.530398562447168,4.741408335962255,Chickpea
24,49,126,19.870523134439864,57.614607415733204,7.477116262379822,Mango
91,53,46,28.330453264064467,87.9800444568066,5.9569094826625975,Jute
58,135,160,15.986273527874353,74.41825939450331,4.788793635916703,Lentil
96,139,80,15.225800097347609,96.86244411895815,6.163629464587763,Muskmelon
36,8,112,33.03171664200341,60.38759055144142,6.6732020934531535,Cotton
91,43,38,20.44091668634761,79.88787924622538,6.712377427122343,Coconut
5,43,174,39.76399949022017,42.7083622886916,5.936604118664926,Muskmelon
17,44,25,31.99339067245843,30.525414810180784,7.363299858728354,Chickpea
39,142,204,13.563149873858166,94.5709264106246,5.680976952709489,Apple
40,66,64,22.150623972409647,67.43347198654254,6.8176595973740035,Pigeonpeas
129,74,149,21.73244609955282,97.552985786823,5.53253373080451,Cotton
4,49,155,23.61368624150918,38.88403706771712,4.79398698932005,Pigeonpeas
79,97,14,30.08171204378084,31.660525459580136,6.297735340854951,Watermelon
0,61,68,20.777522437487367,50.3486871937939,6.922152630579531,Blackgram
48,124,48,23.391059395377567,89.13729421393352,6.732560998375451,Muskmelon
113,82,134,13.689124255888801,38.49047299421173,4.706787348966108,Cotton
94,40,39,34.008125262918576,77.90390262441876,6.514469617376784,Rice
11,24,185,24.396912447762197,74.87741887863874,4.569519160741919,Watermelon
88,59,41,26.82109783450789,82.88990071448126,6.477693160513841,Papaya
37,88,155,10.899207696180339,44.63439532729527,7.318723050946587,Mango
123,123,12,39.097361383218114,27.512057263153473,7.190408472900505,Pomegranate
4,90,179,30.778778566784936,87.04922317184882,8.278456877896094,Mothbeans
113,30,140,35.9382650786511,81.4815491619033,4.952439276306292,Pomegranate
32,5,151,38.22626069014194,86.1471106969502,7.167886067963629,Watermelon
89,67,77,35.99316002582936,99.46695498869028,7.50971105046229,Lentil
72,43,45,33.177733419520216,80.10350804127583,6.154066323126477,Jute
18,86,145,33.93440946575903,54.84666518503464,7.7713368647000864,Mothbeans
88,69,80,28.294954164960835,65.07511418787671,6.021678816931191,Coffee
91,51,37,23.409044408947274,71.82989809421109,6.706897186762756,Rice
73,13,7,26.27090994939215,96.1182847732793,7.888669445490297,Watermelon
88,59,46,22.234877839552922,83.16559493172399,5.9921393175959965,Jute
14,47,180,26.4824271529136,79.75005729086581,7.361963628397097,Kidneybeans
20,111,84,29.42424142463809,91.84244391599896,5.473929186305197,Banana
50,19,72,38.03308080416543,48.12981497917075,4.905683313796866,Banana
116,56,31,37.888176322659675,62.58081706712321,6.823728213051191,Kidneybeans
1,81,136,34.69522046786981,61.79848324128947,4.992890616688664,Pomegranate
73,43,145,15.53755388611099,43.622263137624806,7.673629032591349,Mango
35,88,200,12.611168877629758,85.25989148034247,5.99403873215355,Pomegranate
19,134,201,19.569778086899465,87.72762755500598,6.093538569123147,Grapes
14,14,126,20.823175573317997,92.47128838302083,7.579778801006716,Lentil
90,41,72,18.244181066444085,85.80914548109428,6.194953014595051,Orange
88,73,179,17.057067544059542,89.5407699720842,6.391567862532728,Pomegranate
76,56,50,24.68407679073194,75.75615421069675,5.912372329036852,Jute
137,82,81,27.834290055585193,59.741348708733554,8.45114208085955,Banana
6,89,150,22.129563043128762,54.25596919404918,7.370391062632705,Chickpea
23,50,23,28.096582306401167,46.97817062043363,8.122099169318695,Orange
23,123,202,19.679347562885752,88.93626092283435,5.9011879140389825,Grapes
65,43,41,21.0413576411914,82.97649477270676,5.63522512718443,Rice
26,12,204,29.526321071415826,62.636622924106824,5.797335012461502,Pigeonpeas
85,74,134,39.82418083663502,72.9471351879503,6.7311336694801,Chickpea
29,120,12,27.414250201500238,27.101391528621477,8.346662943819252,Maize
54,110,194,22.680673401885684,85.74451551208695,4.504946719037638,Muskmelon
21,127,198,17.12329815259328,85.73789420366012,5.619829002017647,Apple
99,56,39,31.057703375108645,89.21499511971271,5.987313432127733,Coconut
79,40,52,31.818529824383972,91.6171548008385,6.716972825319583,Jute
37,40,155,17.893377097325285,48.810912597721526,4.850570987055354,Mango
74,71,184,18.391106154144374,95.39096152817865,7.993346646895391,Lentil
85,64,105,21.73128289174523,60.09223993456078,6.088715109716844,Mothbeans
81,39,162,36.33922961335209,89.44453520859602,7.723701600470484,Mothbeans
16,139,203,14.837919667696227,80.3434073746418,5.653791149668031,Apple
19,14,29,27.254900514898747,58.34835521102814,5.754910764776384,Chickpea
64,114,84,32.94429402708987,33.98709018083301,6.51026430585377,Watermelon
133,29,145,21.02603266874594,25.453784750839485,4.603247627797948,Lentil
67,16,36,13.661051563731851,67.54326004494197,8.245796695534642,Muskmelon
59,138,164,16.48114547528799,69.56703639182636,7.1008043695926135,Cotton
90,53,39,31.711423791026597,81.49501059423301,5.616327591010951,Coconut
55,87,141,14.267481060615886,29.71079515379431,5.713100590270383,Banana
66,50,50,20.93437697195094,82.73555320374474,7.493393707705954,Coconut
100,107,128,19.18760862359835,69.91166690333108,6.6081658556466065,Orange
62,120,195,23.493539464639674,35.56980094566121,5.9710374035091585,Mungbean
13,90,137,10.330937932859417,53.29231985438092,6.4253766065412945,Coffee
78,142,62,15.690845445240315,69.51585544061771,5.7940015796458955,Coffee
80,55,52,20.969250197661292,71.06583023217581,6.242817135300282,Papaya
138,56,187,14.477133338505283,30.17598101499597,7.958641568561671,Orange
37,137,202,22.16028891979399,89.21121966777105,6.359565231646946,Apple
20,46,145,13.994350125342908,28.171962372603048,7.134768584829774,Pomegranate
128,134,64,12.292505783141543,42.34941711477731,8.221275539351295,Lentil
20,32,38,21.590467295449464,56.00995459358077,5.407858777461456,Blackgram
86,92,177,14.50507002451125,78.99470149771885,6.5488876832506975,Orange
7,81,204,12.543760481374097,77.30587104501458,4.7883373439946935,Pigeonpeas
16,137,152,32.12525078377021,48.260112680165136,5.686142325150621,Chickpea
134,32,55,15.22328006002253,27.871651977071785,7.141210878805353,Banana
63,142,42,12.47852990377806,61.17260692588093,8.095603296024942,Blackgram
103,77,198,30.02051194139285,20.834215951792245,5.521653938740878,Blackgram
77,109,173,38.79479554227787,58.2604235660739,8.083258389487527,Kidneybeans
139,95,6,28.056447689089662,66.59381265657971,7.492292717718128,Pomegranate
10,14,19,13.32423886539421,67.88252605474925,4.880046795969219,Maize
58,82,128,21.65958395889541,33.09470411722412,5.595165230056426,Blackgram
31,117,124,39.77246201468411,73.71639479157146,5.767689909379779,Cotton
11,22,153,32.65125786238835,56.8431597819312,7.867994211560246,Mungbean
134,90,154,39.54009218573525,94.99104531976951,4.672694943188047,Blackgram
61,55,49,21.37806331565067,94.12824355317491,6.476788260129879,Papaya
21,101,188,28.35821516011993,28.474457004679437,5.106277486350694,Mango
107,115,29,32.83364611129474,32.805730796365836,6.34622989767916,Mungbean
17,120,199,23.221761695125323,84.16853145873301,5.6939538672677745,Apple
97,14,153,31.992138880890245,69.27883602081432,5.252098938461664,Pomegranate
111,17,141,26.6267954239605,20.41836908343302,7.543963040112375,Lentil
11,18,125,38.74220440358141,49.43526010416676,5.807726465352316,Coffee
90,57,40,33.14976142742301,94.90835844068118,6.2366190610136965,Coconut
19,142,28,16.516272930736317,31.025831932738832,7.152168018001969,Kidneybeans
102,42,178,20.664790313240722,83.53578650216674,4.871962559292529,Coffee
3,18,7,11.945607834489051,66.3987029942505,6.745938351838095,Mungbean
119,28,166,27.981068969888014,68.17165152419848,4.591731245072168,Kidneybeans
78,56,47,31.18887813220512,94.54922976115364,5.919683989712819,Coconut
18,98,187,32.065168194626125,38.868607931494964,5.9856880074921825,Kidneybeans
46,61,122,29.276955986055746,53.69984426352576,7.044709458832931,Orange
24,134,200,24.866896477319557,91.20829381613056,6.239986386685612,Apple
14,144,198,15.433531624784326,85.01766933112899,5.526196708532065,Apple
93,122,202,25.542362987164463,43.898045887101844,8.262716980461363,Orange
34,50,158,36.181907514538054,87.3546853433447,5.24440567138511,Pomegranate
73,9,104,14.004399172478314,26.44812110056997,7.411757227895061,Orange
94,35,38,31.482693484866644,73.97270419173384,6.720450298955282,Papaya
35,112,110,18.465612240796005,40.93645469887248,5.487915196287999,Cotton
119,142,84,21.13621281669995,54.310950308883086,7.879157745144086,Watermelon
43,77,49,35.59268870210951,23.720046915205238,6.978797760797663,Mothbeans
20,11,74,36.99500037061817,21.74587174203916,7.155158744702357,Banana
119,132,146,31.924628949421894,98.50376723977973,5.526120249776991,Cotton
86,53,151,19.260962301195857,95.76287901909784,8.369424711153101,Chickpea
116,131,75,30.512623167311276,63.60844226085597,8.422067288004424,Lentil
27,47,173,33.750999653600545,63.9070925376047,6.951600643447797,Maize
97,69,78,14.973236204898273,95.65585176002259,7.899901485922648,Watermelon
73,102,148,22.352966247535257,72.07787737207633,6.681727477627621,Maize
37,63,142,39.341854539205855,83.5191773094405,6.489023721258753,Muskmelon
20,24,158,19.906451946144927,80.5401204550908,6.577543438015749,Mungbean
78,120,96,17.66480033966814,95.73103633596857,6.7407290334996475,Blackgram
65,135,204,18.472926960595352,51.25826924908906,7.693376752897313,Orange
22,93,127,21.412600225226868,82.0489480740262,8.357906615603246,Mungbean
73,12,156,20.70012922425294,80.59855078315339,5.605766762333584,Mango
54,141,51,15.875224377607566,91.75663443388275,6.580762093006218,Blackgram
11,134,11,28.40419415917529,49.048058930720835,8.088745363858475,Cotton
39,133,12,36.819691300236116,72.34340418599695,5.108417132889091,Banana
109,23,36,13.529319644779756,79.17842656684326,5.778667329762179,Kidneybeans
80,47,36,22.489323429436773,92.04819395761609,6.35497937584123,Rice
24,135,101,10.880924773071769,85.83667569771889,5.339011790734725,Pigeonpeas
8,120,182,13.322453359568744,80.76659280917055,8.452262266611097,Pigeonpeas
107,112,135,36.394657418550864,62.03479300365543,5.477359763145865,Maize
80,37,54,33.580398114168055,88.49178251816909,5.882520835829173,Rice
22,132,154,32.142073700155514,84.49567048030326,7.874949305626897,Banana
32,129,20,13.190311787673238,45.193567089037415,4.515268536497389,Chickpea
123,5,204,12.180126148300488,26.166240956116855,5.8615203706667,Muskmelon
37,25,61,19.118392037221714,72.25302324250265,8.253219273793931,Muskmelon
38,141,103,11.772816702347598,91.90779105441979,7.10307419023499,Mango
90,102,124,21.38508710124156,38.13843063388085,6.0264477594688,Mothbeans
29,82,88,10.54000266835645,53.71552332633979,4.608700064363377,Chickpea
82,114,183,34.781171549997154,75.9452300100963,7.857843638003068,Mothbeans
16,133,203,14.571266430792,92.44091997288271,5.78152119841493,Grapes
119,65,168,12.896034105863224,39.35150626070712,4.549616145109259,Muskmelon
88,57,191,31.907384412704378,67.90466371067932,4.75796508499667,Cotton
1,109,129,27.796647103221527,91.38419985117218,5.241320718114858,Blackgram
38,136,197,14.016650132325012,91.83741269883097,6.073349345635218,Apple
64,50,54,23.303379520659725,82.20936572457347,6.975131498185654,Jute
136,72,39,34.87860397950267,90.31831202258138,6.787089408193289,Lentil
32,134,202,14.75419881686679,86.51893941288068,6.273879655730156,Grapes
25,56,97,15.117457346712701,95.84866561371538,6.280984449139153,Lentil
63,57,41,21.97540157708058,75.85461117038714,7.073500670308874,Coconut
85,95,187,39.515209385663134,41.51671566611768,6.1278876385370555,Chickpea
60,16,10,11.369462365071513,31.201927804265416,5.607257231165223,Coffee
88,47,51,29.337795435946177,81.74359407476709,6.394936282644916,Rice
55,53,50,11.484905604809999,86.665365717841,7.875698450446896,Cotton
85,41,51,23.277647515311955,79.91992117715792,5.588775544341709,Rice
8,92,41,18.536869052886928,85.4565334998598,6.626397858417723,Lentil
40,43,145,30.262606226412675,23.588285441885493,6.3023880759325355,Mungbean
44,5,172,22.65484535616494,52.88168602124366,8.13044401022622,Watermelon
71,50,35,32.356855763319416,93.87651278712472,7.142396565100453,Jute
90,91,162,17.728216610011657,24.761976027821735,6.9151818117975505,Blackgram
77,36,38,25.75758324567469,81.40591272388855,6.238106043521833,Papaya
87,42,54,33.50481902111407,80.10599324110522,6.1421621941741,Coconut
1,33,109,29.39350270373821,91.04312514880942,6.8947696092763895,Lentil
50,122,125,14.629646958492382,33.74787850616756,7.051508370654536,Watermelon
61,40,37,28.009512088216457,73.55342809483645,5.523413221461809,Jute
64,59,49,21.981062451840728,92.81077094257074,7.732090519626212,Mango
27,25,186,35.55523710621843,52.3118291336099,4.810458578925763,Mothbeans
121,34,192,16.788373246426954,50.73916961099051,6.300493444727729,Lentil
78,45,67,12.966208529219063,91.17216264140531,4.549238812064303,Mango
99,128,165,25.774377966199715,60.93451092652094,5.162513388113061,Coffee
55,69,197,38.39933301980639,47.18150617208943,6.568957526857328,Mungbean
